Repository,number_of_super,number_of_return_statements,number_of_modules,number_of_and_statements,number_of_case_statements,number_of_retry_statements,number_of_raise_statements,number_of_put_statements,number_of_instance_variables,number_of_yield_statements,number_of_alias,number_of_for_loops,number_of_created_constants,number_of_branching_statements,number_of_regular_expressions,number_of_constants,number_of_global_variables,number_of_or_statements,number_of_not_statements,total_number_of_logical_statements,total_number_of_loops,number_of_basic_integers,number_of_arrays,number_of_strings,number_of_reserved_words_meet_in_project,number_of_branch_blocks,number_of_document_sections,number_of_redo_statements,number_of_ternary_operators,number_of_hexadecimal_octal_literals,number_of_print_statements,number_of_until_loops,number_of_next_statements,number_of_while_loops
activerecord-jdbc-adapter,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,4,0,2,4,0,0,0,0,0,0,0,0,0
alaveteli,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,1,0,0,38,35,0,0,0,0,0,0,0,0,0
archivesspace,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
asciidoctor-diagram,0,3,4,17,1,0,2,0,0,0,0,14,117,29,95,106,0,4,128,149,14,364,556,832,751,26,0,0,0,33,0,0,2,0
aws-sdk-ruby,0,0,1,3,0,2,1,10,0,0,0,5,14,20,49,35,0,4,6,13,5,10,39,168,151,16,0,0,2,0,0,0,2,0
bike_index,0,0,0,62,1,0,1,0,0,0,0,26,30,38,22,279,0,8,94,164,26,856,453,1714,2089,35,0,0,1,27,0,0,1,0
bosh,0,0,0,0,0,0,0,0,0,0,0,0,3,0,76,267,0,0,2,2,0,2547,126,640,276,0,0,0,0,348,0,0,0,0
bosh-azure-cpi-release,0,11,0,98,1,2,46,0,0,0,0,29,100,17,77,157,0,35,108,241,29,173,197,1053,2541,16,0,0,6,0,0,0,0,0
calabash-ios,0,1,3,0,0,1,0,0,2,0,0,7,1,2,2,5,0,5,1,6,7,3,8,9,44,1,0,0,0,2,0,0,0,0
chatwoot,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,6,6,1,4,0,14,43,0,0,0,0,0,0,0,0,0
check-api,9,0,0,0,0,0,0,0,6,0,0,1,4,7,10,33,0,1,20,21,1,60,10,124,174,7,0,0,0,13,0,0,0,0
chef,0,12,0,18,3,1,1,7,0,0,0,14,24,57,11,9,0,18,11,47,14,22,92,149,311,53,0,0,3,0,4,0,3,0
chords,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,25,0,0,6,41,140,0,0,0,0,0,0,0,0,0
client-server-web-apps,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,1,0,2,2,3,2,1,0,0,0,0,0,0,0,0
clio-spectrum,0,19,5,28,2,0,0,0,2,0,0,17,48,22,23,20,0,2,4,34,18,50,53,71,285,14,0,0,0,5,0,0,0,1
